id,text,aspect_term,aspect_category,polarity
,"As a result, their burgers fell apart in their hands, making such a mess that they didn't feel like finishing them.",burgers,anecdotes/miscellaneous,negative
2064,we split a tasty vegetable samosa and the malai tikka wrap.,malai tikka wrap,food,positive
,"In the summer of 2003, however, the management seems to have changed, and the large door was replaced with a glass front that frees itself from the dark romance.",glass front,ambience,negative
,I would go back.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
667,prices are in line.,Prices,price,neutral
,"Sure, exactly 30 minutes later we received the call and were seated immediately.",service,service,positive
,The atmosphere is great if you're looking for a relaxed scene and a cheap way to spend a weekend afternoon.,atmosphere,price,positive
,"Visiting Volare is like going to your favorite aunt's house for dinner, provided your aunt is a great Italian cook.",dinner,anecdotes/miscellaneous,positive
,We went here for lunch on a Saturday a couple of weeks ago and I was very impressed with the food.,food,food,positive
,"So, for good food, I would recommend it, but not for a fun evening.",food,ambience,negative
1579,and really large portions.,portions,food,positive
1633,i suspect this restaurant is what rao's would be if it hadn't turned exclusive.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,We couldn't catch our waiter's gaze and he ignored us.,waiter,service,negative
,Mizu is the Japanese find in Grammercy.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,They serve the same menu but have creative drinks loaded with alcohol and cheeky names - but they'll cost you.,drinks,price,negative
,I had the black cod with yuzu sauce which was wonderful.,black cod with yuzu sauce,food,positive
3681,"the food was very good, a great deal, and the place its self was great.",place,ambience,positive
2299,"for all you lazy folks that don't want to come to alphabet city, i say, good - stay out.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,I will be brief.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"The calamari comes with an amazing sauce, and the duck noodles are delicious too.",duck noodles,food,positive
3237,"after reading the posts, i was always skeptical to go to the minnow, despite living in park slope.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
2631,"i have had so many dinners here and it's always been perfect - on a date with my husband, with my mom, with girlfriends and larger groups.",dinners,anecdotes/miscellaneous,positive
,The service was slow but the people were friendly.,people,service,conflict
,It can be a very fun group experience and kids (6 and older) would love it.,ambience,ambience,positive
788,the website and rating makes this place look wonderful but in reality it was very disappointing.,place,anecdotes/miscellaneous,conflict
,For some reason the place was empty when we entered and stayed that way all evening. I don't understand why but we had a great time and will definitely be back next time we are in the area.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,The food is nothing like its menu description.,menu description,food,negative
,I have eaten Thai many times and I am very familiar with the cuisine.,cuisine,anecdotes/miscellaneous,neutral
